no,MOLENAME,Plate location,cas,"Weight, mg",Bioactivity,Formula,MolWt,Status,Reference
1419,Tiopronin,18-F10,19392,"125µl,10mMol/L","Tiopronin (trade name Thiola) is a prescription thiol drug used to control the rate of cystine precipitation and excretion in the disease cystinuria. Due to the rarity of the disorder, tioronin falls under the classification of an orphan drug.",C5H9NO3S,163.19,USP,"1. Zheng Z, et al. Ren Fail. 2014 Oct;36(9):1455-60. "
1420,Cefotiam HCl,18-F11,66309-69-1,"125µl,10mMol/L",One of the CEPHALOSPORINS that has a broad spectrum of activity against both gram-positive and gram-negative microorganisms. .,C18H23N9O4S3.HCl,562.08,"USP, INN, BAN, JAN","1. Matsuda K, et al. Antimicrob Agents Chemother. 1995 Dec;39(12):2631-4."
1421,Enrofloxacin,18-G2,93106-60-6,"125µl,10mMol/L",Enrofloxacin is a fluoroquinolone antibiotic. Enrofloxacin is a synthetic chemotherapeutic agent from the class of the fluoroquinolone carboxylic acid derivatives. It has antibacterial activity against a broad spectrum of Gram-negative and Gram-positive bacteria. ,C19H22FN3O3,359.4,"USAN, INN, BAN","1. Prescott JF, et al. Can J Vet Res, 1990, 54(1), 195-197."
1422,Dypyridamole,18-G3,58-32-2,"125µl,10mMol/L","A phosphodiesterase inhibitor that blocks uptake and metabolism of adenosine by erythrocytes and vascular endothelial cells. Dipyridamole also potentiates the antiaggregating action of prostacyclin. (From AMA Drug Evaluations Annual, 1994, p752) ",C24H40N8O4,504.63,"USP, INN, BAN, JAN","1. Fujishige K, et al. J Biol Chem. 1999 Jun 25;274(26):18438-45."
1423,Trazodone HCl,18-G4,25332-39-2,"125µl,10mMol/L","A serotonin uptake inhibitor that is used as an antidepressive agent. It has been shown to be effective in patients with major depressive disorders and other subsets of depressive disorders. It is generally more useful in depressive disorders associated with insomnia and anxiety. This drug does not aggravate psychotic symptoms in patients with schizophrenia or schizoaffective disorders. (From AMA Drug Evaluations Annual, 1994, p309) ",C19H23Cl2N5O,408.33,"USP, INN, BAN, JAN","1. Marcoli M, et al. J Pharmacol Exp Ther. 2001 Dec; 299(3):1106-11."
1424,Pazufloxacin Mesylate,18-G5,163680-77-1,"125µl,10mMol/L",Pazufloxacin (INN) is a fluoroquinolone antibiotic.,C16H15FN2O4.CH4O3S,414.4,"INN, JAN","1. Rubinstein E, et al. Chemotherapy. 2001;47 Suppl 3:3-8; discussion 44-8."
1425,Imatinib Mesylate (STI571),18-G6,220127-57-1,"125µl,10mMol/L","Imatinib mesylate is a tyrosine kinase inhibitor IC50 value of 100 nM, 100 nM, 600 nM for v-Abl, c-kit, PDGFR, respectively [1].
Tyrosine kinase is an enzyme which is a subclass of protein kinase and plays an important role in transferring a phosphate group from ATP to a protein in cells. It is shown that tyrosine kinase plays a pivotal role in the management of disorders in which activation of c-Abl, PDGFR, or c-Kit signaling. Recently, the role of tyrosine kinases in the modulation of growth factor signaling are received more and more attention and gradually become an especial important target.",C29H31N7O.CH4SO3,589.71,USP,"1. Niu CC, et al. Leuk Res. 2013 Nov;37(11):1532-7. "
1426,Rosiglitazone maleate,18-G7,155141-29-0,"125µl,10mMol/L","Rosiglitazone maleate is the maleic acid salt form of rosiglitazone, a potent insulin sensitizer, which is used for the treatment of diabetes. Rosiglitazone belongs to a group of compounds, thiazolidinediones (TZDs), which selectively ligate the nuclear transcription factor peroxisome-proliferator-activated receptor-? (PPAR?). As a TZD, rosiglitazone improves the sensitivity of end organs to insulin through PPAR? activation which poteniates them to lower concentrations of blood glucose. Despite of its beneficial effects of targeting insulin resistance, recent studies has shown that rosiglitazone is associated with several moderate to severe adverse effects, including hemodilution, anemia, weight gain, and edema as well as increased risk for heart failure and myocardial ischemic events.",C18H19N3O3S.C4H4O4,473.12,,"1. Pfützner A, et al. Vasc Health Risk Manag. 2007; 3(2):211-20."
1427,Sulbactam,18-G8,68373-14-8,"125µl,10mMol/L","A beta-lactamase inhibitor with very weak antibacterial action. The compound prevents antibiotic destruction of beta-lactam antibiotics by inhibiting beta-lactamases, thus extending their spectrum activity. Combinations of sulbactam with beta-lactam antibiotics have been used successfully for the therapy of infections caused by organisms resistant to the antibiotic alone. ",C8H11NO5S,233.24,"USP, JAN","1. Singh GS, et al. Mini Rev Med Chem. 2004 Jan;4(1):93-109."
1428,Fenchlorphos,18-G9,299-84-3,"125µl,10mMol/L","Ronnel is a Filipino politician, entrepreneur, and businessman and a former councilor and currently serving as Mayor of General Santos. ",C8H8Cl3O3PS,321.55,"USAN, INN","1. Kahl S, et al. J Anim Sci. 1985 Jul;61(1):197-202."
1429,Paroxetine HCl,18-G10,78246-49-8,"125µl,10mMol/L",Paroxetine Hydrochloride is a antidepressant agents known as selective serotonin-reuptake inhibitors (SSRIs).Paroxetine is a potent and highly selective inhibitor of neuronal serotonin reuptake. Paroxetine likely inhibits the reuptake of serotonin at the,C19H21CIFNO3,365.83,"USP, INN, BAN","1. Le Poul E, et al. Naunyn Schmiedebergs Arch Pharmacol, 1995, 352(2), 141-148."
1430,Deferoxamine Mesylate,18-G11,138-14-7,"125µl,10mMol/L","Natural product isolated from Streptomyces pilosus. Deferoxamine mesylate forms iron complexes and is used as a chelating agent, particularly in the mesylate form.
",C26H52N6O11S,656.79,"USAN, INN, BAN","1. Elihu N, et al. J Clin Pharmacol. 1998 Feb;38(2):101-5."
1431,N-Acetylneuraminic acid,18-H2,131-48-6,"125µl,10mMol/L",N-Acetylneuraminic acid (Neu5Ac or NANA) is the predominant sialic acid found in mammalian cells.,C11H19NO9,309.27,INN,"1. Severi E, et al. Microbiology. 2007 Sep;153(Pt 9):2817-22."
1432,Amlexanox,18-H3,68302-57-8,"125µl,10mMol/L","Amlexanox is an antiallergic drug, clinically effective for atopic diseases, especially allergic asthma and rhinitis. Amlexanox as a topical paste is a well tolerated treatment of recurrent aphthous ulcers. Recurrent aphthous ulcer (RAU) is the most prevalent oral mucosal disease in humans, estimated to affect between 5% and 50% of the general population.
",C15H14N2O4,298.29,"USAN, INN, BAN, JAN","1. Shishibori T, et al. Biochem J. 1999 Mar 15;338 ( Pt 3):583-9."
1433,Ciprofloxacin,18-H4,85721-33-1,"125µl,10mMol/L","Ciprofloxacin is a broad-spectrum antimicrobial carboxyfluoroquinoline.
",C17H18FN3O3,331.34,"USP, INN, BAN","1. Wise R, et al. Antimicrob Agents Chemother, 1983, 23(4), 559-564."
1434,Strontium ranelate,18-H5,135459-87-9,"125µl,10mMol/L",Strontium Ranelate is a bone metabolism modulator that inhibits bone resorption while maintaining bone formation. Commonly used as an antiosteoporotic.,C12H6N2O8S.2Sr,513.49,,"1. Kirschneck C, et al. Eur J Pharmacol. 2014 Dec 5;744:67-75. "
1435,Lenalidomide (CC-5013),18-H6,191732-72-6,"125µl,10mMol/L","Lenalidomide (initially known as CC-5013 and marketed as Revlimid® by Celgene) is a derivative of thalidomide introduced in 2004. It was initially intended as a treatment for multiple myeloma, for which thalidomide is an accepted therapeutic modality, but has also shown efficacy in the hematological disorders known as the myelodysplastic syndromes.  FDA approved on December 27, 2005.
",C13H13N3O3,259.26,,"1. Muller GW, et al. Bioorg Med Chem Lett, 1999, 9(11), 1625-1630."
1436,Amitraz,18-H7,33089-61-1,"125µl,10mMol/L",Amitraz is a non-systemic acaricide and insecticide.,C19H23N3,293.41,"USP, INN, BAN","1. Del Pino J, et al. Chem Res Toxicol. 2015 Jun 15;28(6):1073-94. "
1437,Beta-Carotene,18-H8,7235-40-7,"125µl,10mMol/L",Beta Carotene is an organic compound and classified as a terpenoid. It is a precursor (inactive form) of vitamin A.,C40H56,536.87,"USP, INN","1. Kasperczyk S, et al. Toxicol Appl Pharmacol. 2014 Oct 1;280(1):36-41. "
1438,Glyburide,18-H9,10238-21-8,"125µl,10mMol/L","Glyburide is an antidiabetic sulfonylurea derivative with actions similar to those of chlorpropamide.
",C23H28ClN3O5S,494.01,"USP, INN, BAN, JAN","1. Pondugula SR, et al. Physiol Genomics. 2006 Jan 12;24(2):114-23. "
1439,Penciclovir,18-H10,39809-25-1,"125µl,10mMol/L",Penciclovir is a guanine analogue antiviral drug used for the treatment of various herpesvirus infections. It is a nucleoside analogue which exhibits low toxicity and good selectivity. ,C10H15N5O3,253.26,"USAN, INN, BAN","1. Scott GM, et al. J Gen Virol. 2005 Aug;86(Pt 8):2141-51."
1440,Dopamine HCl,18-H11,62-31-7,"125µl,10mMol/L","One of the catecholamine NEUROTRANSMITTERS in the brain. Dopamine hydrochloride is derived from TYROSINE and is the precursor to NOREPINEPHRINE and EPINEPHRINE. Dopamine is a major transmitter in the extrapyramidal system of the brain, and important in regulating movement. A family of receptors (RECEPTORS, DOPAMINE) mediate its action.
",C8H12ClNO2,189.64,"USP, INN, BAN, JAN","1. Ostadali MR, et al . Iran J Allergy Asthma Immunol. 2004 Dec;3(4):169-74."
1441,Ramipril,19-A2,87333-19-5,"125µl,10mMol/L",Ramipril is an Angiotensin Converting Enzyme Inhibitor. ,C23H32N2O5,416.51,"USP, INN, BAN","1. Stevens BR, et al. Comp Biochem Physiol C, 1988, 91(2), 493-497."
1442,Famciclovir,19-A3,104227-87-4,"125µl,10mMol/L","Famciclovir is a guanine analogue antiviral drug used for the treatment of various herpes virus infections, most commonly for herpes zoster (shingles). It is a prodrug form of penciclovir with improved oral bioavailability. Famciclovir is marketed under the trade name Famvir (Novartis).
",C14H19N5O4,321.33,"USAN, INN, BAN","1. Schmid-Wendtner MH, Korting HC. Skin Pharmacol Physiol. 2004 Sep-Oct;17(5):214-8."
1443,Ronidazole,19-A4,7681-76-7,"125µl,10mMol/L","Antiprotozoal and antimicrobial agent used mainly in veterinary practice.
",C6H8N4O4,200.15,"USAN, INN, BAN","1. Sullivan TW, et al. Poult Sci. 1977 Mar;56(2):571-6."
1444,Vitamin E,19-A5,21590,"125µl,10mMol/L","A generic descriptor for all tocopherols and tocotrienols that exhibit alpha-tocopherol activity. By virtue of the phenolic hydrogen on the 2H-1-benzopyran-6-ol nucleus, these compounds exhibit varying degree of antioxidant activity, depending on the site and number of methyl groups and the type of isoprenoids. 
",C29H50O2,430.71,USP,"1. Ralat LA, Colman RF. Biochemistry. 2006 Oct 17;45(41):12491-9. "
1445,Tenofovir,19-A6,147127-20-6,"125µl,10mMol/L","Tenofovir disoproxil fumarate (a prodrug of tenofovir), marketed by Gilead Sciences under the trade name Viread®, belongs to a class of antiretroviral drugs known as nucleotide analogue reverse transcriptase inhibitors (nRTIs), which block reverse transcriptase, an enzyme crucial to viral production in HIV-infected people.  ",C9H14N5O4P,287.21,"USAN, INN, BAN","1. Fung HB, et al. Clin Ther. 2002 Oct; 24(10):1515-48."
1446,Lyothyronine,19-A7,1823692,"125µl,10mMol/L","Liothyronine is a T3 thyroid hormone normally synthesized and secreted by the thyroid gland in much smaller quantities than thyroxine (T4). Most T3 is derived from peripheral monodeiodination of T4 at the 5' position of the outer ring of the iodothyronine nucleus. The hormone finally delivered and used by the tissues is mainly T3.
",C15H12I3NO4,650.97,"USP, BAN, JAN","1. Jiang W, et al. J Endocrinol. 2004 Aug; 182(2):295-302."
1447,Pentamidine isethionate,19-A8,140-64-7,"125µl,10mMol/L","Antiprotozoal agent effective in trypanosomiasis, leishmaniasis, and some fungal infections; used in treatment of PNEUMOCYSTIS pneumonia in HIV-infected patients. PENTAMIDINE ISETHIONATE may cause diabetes mellitus, central nervous system damage, and other toxic effects.
",C23H36N4O10S2,592.68,,"1. Goa KL, Campoli-Richards DM. Drugs. 1987 Mar;33(3):242-58."
1448,Ambrisentan,19-A9,177036-94-1,"125µl,10mMol/L","Ambrisentan is an Endothelin Receptor Antagonist. The mechanism of action of ambrisentan is as an Endothelin Receptor Antagonist.
",C22H22N2O4,378.42,USP,"1. Vatter H, Seifert V. Cardiovasc Drug Rev. 2006 Spring;24(1):63-76."
1449,Vandetanib (ZD6474),19-A10,443913-73-3,"125µl,10mMol/L","Vandetanib is an orally bioavailable 4-anilinoquinazoline. Vandetanib selectively inhibits the tyrosine kinase activity of vascular endothelial growth factor receptor 2 (VEGFR2), thereby blocking VEGF-stimulated endothelial cell proliferation and migration and reducing tumor vessel permeability. This agent also blocks the tyrosine kinase activity of epidermal growth factor receptor (EGFR), a receptor tyrosine kinase that mediates tumor cell proliferation and migration and angiogenesis.
",C22H24BrFN4O2,475.31,,"1. Wedge SR, et al. Cancer Res. 2002, 62(16), 4645-4655."
1450,Varenicline Tartrate,19-A11,375815-87-5,"125µl,10mMol/L","Varenicline Tartrate is a nicotinic AChR partial agonist, used to treat nicotine addiction.",C13H13N3·C4H6O6,361.35,,"1. Rollema H, et al. Neuropharmacology, 2007, 52(3), 985-994."
1451,Selenomethionine,19-B2,1464-42-2,"125µl,10mMol/L","Diagnostic aid in pancreas function determination.
",C5H11NO2Se,196.11,INN,"1. Cao J, et al. J Anim Sci Biotechnol. 2014 Oct 2;5(1):46. "
1452,Melatonine,19-B3,73-31-4,"125µl,10mMol/L","Melatonin is a MT receptor agonist, used as a dietary supplement.",C13H16N2O2,232.28,USP,"1. Reiter RJ, et al. J Biomed Sci, 2000, 7(6), 444-458."
1453,Silibinin,19-B4,22888-70-6,"125µl,10mMol/L","Silibinin, the main flavonoid extracted from the milk thistle Silybum marianum, displays hepatoprotective properties in acute and chronic liver injury.",C25H22O10,482.44,INN,"1. Al-Anati L, et al. Mol Nutr Food Res, 2009, 53(4), 460-466."
1454,Betamethasone,19-B5,378-44-9,"125µl,10mMol/L","A glucocorticoid given orally, parenterally, by local injection, by inhalation, or applied topically in the management of various disorders in which corticosteroids are indicated. Its lack of mineralocorticoid properties makes betamethasone particularly suitable for treating cerebral edema and congenital adrenal hyperplasia. (From Martindale, The Extra Pharmacopoeia, 30th ed, p724)
",C22H29FO5,392.46,"USP, INN, BAN, JAN","1. Ortonne JP, et al. J Eur Acad Dermatol Venereol. 2014 Sep;28(9):1226-34."
1455,Crizotinib (PF-02341066),19-B6,877399-52-5,"125µl,10mMol/L","Crizotinib an inhibitor of receptor tyrosine kinase for the treatment of non-small cell lung cancer (NSCLC). Verification of the presence of ALK fusion gene is done by Abbott Molecular's Vysis ALK Break Apart FISH Probe Kit. This verification is used to select for patients suitable for treatment. FDA approved in August 26, 2011.
",C21H22Cl2FN5O,450.34,USP,"1. Zou HY, et al. Cancer Res. 2007, 67(9), 4408-4417."
1456,Dicrotalic acid,19-B7,503-49-1,"125µl,10mMol/L","MEGLUTOL is an antilipemic agent which lowers cholesterol, triglycerides, serum beta-lipoproteins and phospholipids. It acts by interfering with the enzymatic steps involved in the conversion of acetate to hydroxymethylglutaryl coenzyme A as well as inhibiting the activity of HYDROXYMETHYLGLUTARYL COA REDUCTASES which is the rate limiting enzyme in the biosynthesis of cholesterol.
",C6H10O5,162.14,"USAN, INN","1. Santarelli F, et al. Ital J Pediatr. 2013 May 24;39:33. "
1457,Daptomycin,19-B8,103060-53-3,"125µl,10mMol/L",Daptomycin is a novel antibiotic with rapid in vitro bactericidal activity against gram-positive organisms.,C72H101N17O26,1620.68,"USAN, INN, BAN","1. Silverman JA, et al. Antimicrob Agents Chemother, 2003, 47(8), 2538-2544."
1458,Fulvestrant,19-B9,129453-61-8,"125µl,10mMol/L","Fulvestrant is a drug treatment of hormone receptor-positive metastatic breast cancer in post-menopausal women with disease progression following anti-estrogen therapy. It is an estrogen receptor antagonist with no agonist effects, which works both by down-regulating and by degrading the estrogen receptor.
",C32H47F5O3S,606.77,,"1. Wakeling AE, et al. Cancer Res, 1991, 51(15), 3867-3873."
